구별,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
종로구,0.25,0.4285714285714286,0.2569444444444444,0.3325688073394495,0.352506162695152,100.0,100.0,100.0,70.56105610561056,90.87415946205572,159842,1471,1.6205908430504745,461.43521556766626
중구,0.08333333333333333,0.3571428571428571,0.18229166666666663,0.6477064220183487,0.28677074774034517,50.0,83.33333333333334,58.97435897435898,47.68392370572207,84.96357960457857,135321,1544,1.557245026901551,324.95519561799296
용산구,0.16666666666666669,0.14285714285714285,0.3159722222222222,0.09587155963302751,0.33360723089564503,100.0,100.0,87.13235294117648,54.454454454454456,89.53831041257368,244953,2063,1.0549748222747044,431.12511780820455
성동구,0.4166666666666667,0.5714285714285714,0.07465277777777776,0.08256880733944949,0.06984387838948236,83.33333333333334,100.0,72.18045112781954,52.680412371134025,87.2309899569584,302695,2679,1.2151607016019477,395.42518678924534
광진구,0.25,0.3571428571428571,0.3177083333333333,0.4977064220183486,0.2584223500410846,100.0,83.33333333333334,78.02197802197803,53.76,85.53696708041014,361923,1581,1.6809799625356234,400.6522784357215
동대문구,0.4166666666666667,0.6428571428571428,0.13541666666666663,0.3399082568807339,0.30936729663106,100.0,90.0,85.11904761904762,54.01698236446767,92.71623672230652,358679,2003,1.8442160297022703,421.85226670582176
중랑구,0.7499999999999999,0.21428571428571427,0.08333333333333331,0.40183486238532107,0.5036976170912079,100.0,100.0,78.26086956521739,54.50180072028812,86.0,400989,1068,1.9531515270955762,418.76267028550546
성북구,0.16666666666666669,0.14285714285714285,0.14930555555555552,0.13394495412844032,0.15981922760887435,100.0,100.0,73.86363636363636,67.56007393715342,90.26658400495971,449871,3003,0.7525935468166798,431.69029430574955
강북구,0.4166666666666667,0.14285714285714285,0.14930555555555552,0.20137614678899085,0.4930156121610517,100.0,66.66666666666666,82.38636363636364,54.027664768104145,91.006600660066,313550,1265,1.4032211240294077,394.08729573120047
도봉구,0.0,0.2857142857142857,0.0,0.0,0.0,100.0,100.0,92.22222222222223,49.87341772151899,82.84313725490196,329300,858,0.2857142857142857,424.93877719864315
노원구,0.25,0.14285714285714285,0.16319444444444442,0.3247706422018348,0.5094494658997536,100.0,100.0,85.86956521739131,45.460614152202936,85.95779220779221,529532,1906,1.3902716954031757,417.28797157738643
은평구,0.16666666666666669,0.0,0.18055555555555552,0.35550458715596334,0.366885784716516,100.0,100.0,83.50515463917526,62.42811501597444,87.71846953235712,485842,2962,1.0696125940947017,433.65173918750685
서대문구,0.08333333333333333,0.2857142857142857,0.14756944444444442,0.19999999999999996,0.12777321281840592,50.0,100.0,88.0,48.939641109298535,82.08469055374593,323860,2121,0.8443902763104694,369.02433166304445
마포구,0.08333333333333333,0.07142857142857142,0.703125,0.6422018348623854,0.38167625308134756,100.0,100.0,84.24242424242424,41.87214611872146,85.09057129586624,383494,1935,1.8817649927056377,411.20514165701195
양천구,0.4166666666666667,0.07142857142857142,0.0642361111111111,0.3151376146788991,0.15529991783073127,100.0,100.0,88.18897637795276,42.924847664184156,85.51810237203496,460048,2775,1.0227688817159797,416.63192641417186
강서구,0.5833333333333333,0.14285714285714285,0.375,0.5779816513761468,0.5476581758422351,100.0,100.0,83.98692810457517,52.53658536585366,85.8818928431756,589536,1617,2.226830303408858,422.40540631360443
구로구,0.7499999999999999,0.14285714285714285,0.2361111111111111,0.51651376146789,0.5456039441248973,90.0,100.0,73.00884955752213,50.36534446764092,84.1692789968652,435751,3227,2.191085959561041,397.54347302202825
금천구,0.4166666666666667,0.6428571428571428,0.109375,0.16834862385321103,0.2280197206244865,100.0,60.0,82.35294117647058,53.15471045808125,89.3760539629005,249641,1634,1.565267154001507,384.8837055974524
영등포구,0.7499999999999999,0.14285714285714285,0.46180555555555547,0.7426605504587157,0.7469186524239934,100.0,100.0,67.13483146067416,44.333748443337484,81.09796186719264,405982,2495,2.8442419012954074,392.56654177120424
동작구,0.25,0.0,0.27951388888888884,0.24678899082568806,0.2432210353327855,50.0,100.0,43.82470119521912,43.59939759036144,82.76431718061674,404617,1780,1.0195239150473623,320.1884159661973
관악구,0.9999999999999999,0.6428571428571428,0.5520833333333333,0.6573394495412844,0.5957271980279376,76.92307692307693,100.0,82.1078431372549,48.80791722896986,88.59386686611818,514555,3985,3.4480071237596985,396.43270415541986
서초구,0.3333333333333333,0.4285714285714286,0.9131944444444444,0.6788990825688074,0.5834018077239113,100.0,71.42857142857143,66.88311688311688,49.25110132158591,83.58547655068078,429995,2835,2.937400096641925,371.148266183955
강남구,0.3333333333333333,0.2857142857142857,1.0,1.0,0.9999999999999999,60.0,100.0,84.38438438438438,45.08417508417508,86.35866593767085,544085,5221,3.619047619047619,375.82722540623024
송파구,0.49999999999999994,0.6428571428571428,0.3177083333333333,0.7458715596330275,0.7263763352506162,100.0,100.0,84.24908424908425,42.05298013245033,84.72593582887701,676673,1586,2.9328133710741198,411.0280002104116
강동구,0.4166666666666667,1.0,0.15625,0.39449541284403666,0.385784716516023,83.33333333333334,93.33333333333333,86.11111111111111,54.96969696969697,86.63892741562644,462275,1879,2.3531967960267264,404.38640216310125
