,y,x,ID,버거킹 매장수,맥도날드 매장수,KFC 매장수,롯데리아 매장수,버거 지수
138,14,11,울산 울주,0,1,0,5,0.2
139,14,12,울산 동구,1,3,0,3,1.33
140,15,2,서천,0,0,0,1,0.0
141,15,3,금산,0,0,0,2,0.0
142,15,4,대전 유성,3,2,2,11,0.64
143,15,5,대전 중구,5,8,3,8,2.0
144,15,6,옥천,0,0,0,1,0.0
145,15,8,대구 서구,1,1,1,5,0.6
146,15,9,대구 남구,1,2,2,1,5.0
147,15,10,대구 동구,3,4,0,10,0.7
148,15,11,울산 중구,2,1,0,8,0.38
149,15,12,울산 남구,4,13,1,11,1.64
150,16,2,군산,1,3,0,7,0.57
151,16,3,익산,2,4,0,6,1.0
152,16,4,대전 서구,11,7,5,11,2.09
153,16,5,무주,0,0,0,1,0.0
154,16,6,거창,0,0,0,2,0.0
155,16,8,대구 달서,3,16,3,7,3.14
156,16,9,대구 달성,2,2,0,5,0.8
157,16,10,부산 금정,2,4,1,4,1.75
158,16,11,부산 동래,2,12,0,5,2.8
159,16,12,부산 기장,1,2,0,5,0.6
160,17,3,김제,0,0,0,2,0.0
161,17,4,완주,0,0,0,2,0.0
162,17,5,장수,0,0,0,1,0.0
163,17,7,창녕,0,0,0,2,0.0
164,17,8,밀양,0,2,0,0,0.0
165,17,9,부산 북구,0,7,1,6,1.33
166,17,10,부산 부산진,1,10,2,8,1.62
167,17,11,부산 연제,2,7,0,5,1.8
168,17,12,부산 해운대,7,9,0,12,1.33
169,18,2,정읍,1,1,0,3,0.67
170,18,3,전주 덕진,2,4,0,8,0.75
171,18,4,진안,0,0,0,1,0.0
172,18,5,남원,0,0,0,1,0.0
173,18,6,진주,2,6,1,11,0.82
174,18,7,의령,0,0,0,1,0.0
175,18,8,부산 강서,0,1,0,4,0.25
176,18,9,부산 사상,1,5,1,3,2.33
177,18,10,부산 동구,0,2,0,2,1.0
178,18,11,부산 중구,2,1,2,2,2.5
179,19,2,장성,0,0,0,1,0.0
180,19,3,전주 완산,4,3,4,8,1.38
181,19,5,산청,0,0,0,1,0.0
182,19,7,양산,2,3,2,5,1.4
183,19,8,창원 합포,1,2,0,0,0.0
184,19,9,부산 서구,0,0,0,1,0.0
185,19,10,부산 사하,0,5,1,4,1.5
186,19,11,부산 남구,3,3,0,3,2.0
