,price,title,writer
233,10000,"IT CookBook, 엑셀 2013 for Beginner",양숙희 
234,26000,"IT CookBook, New 데이터통신과 네트워킹 : 차세대 통신을 위한 밑그림",강문식 
235,10000,"IT CookBook, 워드 2013 for Beginner",최희식 
236,10000,"IT CookBook, 파워포인트 2013 for Beginner",최희식 
237,26000,이자론 중심으로 배우는 금융수학 : 보험계리사 시험 대비,이재원 
238,23000,"IT CookBook, 쉽게 배우는 유전 알고리즘 : 진화적 접근법",문병로 
239,26000,"IT CookBook, 컴퓨터 아키텍처 : 컴퓨터 구조 및 동작 원리",우종정 
240,10000,"IT CookBook, 초보자의 첫 번째 한글 2010",양숙희 
241,25000,"IT CookBook, C 언어로 배우는 8051 마이크로프로세서",임석구 
242,34000,"IT CookBook, 회로이론 : Circuits","Fawwaz T. Ulaby , Michel M. Maharbiz "
243,25000,"IT CookBook, 실무로 완성하는 최신 안테나 공학 : 이론에서 실무까지","Yi Huang , Kevin Boyle "
244,47000,"Introduction To Algorithms, Third Edition","토머스 코멘 , 찰스 레이서손 , 로날드 리베스트 , 클리포드 스타인 "
245,23000,이공계생을 위한 확률과 통계 : Forward-Looking Probability and Statistics,안승철 
246,18000,공학 기초수학 : Basic Mathematics for Engineering,함남우 
247,35000,"IT CookBook, 컴퓨터 비전",오일석 
248,22000,실전으로 배우는 발명·특허,윤상원 
249,20000,설계 프로세스로 배우는 창의적 공학설계,노승환 
250,22000,"IT CookBook, 빅데이터 컴퓨팅 기술","박두순 , 문양세 , 박영호 , 윤찬현 , 정영식 , 장형석 "
251,22000,"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지",이강윤 
252,26000,"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지",신경욱 
253,27000,"IT CookBook, 익스플로링 아두이노",JEREMY BLUM 
254,24000,"IT CookBook, RF 및 초고주파 공학",카이 창(Kai Chang) 
255,22000,"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)","안치현 , 김형철 "
256,19000,"IT CookBook, 엑셀 2010 실무와 활용",전미진 
257,21000,"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용","전미진 , 고경희 "
258,19000,"IT CookBook, 파워포인트 2010 실무와 활용",고경희 
259,28000,"IT CookBook, ASP.NET 4.0 프로그래밍",김동아 
260,10000,"IT CookBook, 초보자의 첫 번째 워드 2010",최희식 
261,18000,"IT CookBook, 파워포인트 2007 실무와 활용",고경희 
262,25000,"IT CookBook, New 인터넷 이해와 활용",김경신 
263,26000,"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍",황희정 
264,23000,"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트","임석구 , 홍경호 "
265,28000,"IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming","김선우 , 신화선 "
266,28000,"IT CookBook, 실감나게 배우는 제어공학","한수희 , 이영삼 , 권보규 , 권오규 , 권욱현 "
267,16000,"IT CookBook, 디지털 실험 : with PSpice",홍순관 
268,28000,"IT CookBook, 디지털 공학 : 논리회로의 설계 원리","김대정 , 모현선 "
269,25000,기초 선형대수학 : BASIC LINEAR ALGEBRA,"이광연 , 설한국 , 김진수 "
270,26000,대학수학 Plus : University Mathematics,이재원 
271,23000,"IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인",강은정 
272,22000,"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험","이승호 , 민경옥 "
273,24000,"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010",김지연 
274,25000,"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처",신종홍 
275,18000,기초 확률과 통계 : BASIC PROBABILITY & STATISTICS,박대수 
276,30000,"IT CookBook, 전자기학 : ELECTROMAGNETICS","Arlon T. Adams , Jay Kyoon Lee(이재균) "
277,38000,"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스",주우석 
278,25000,"IT CookBook, 인공지능 개론",마이클 네그네빗스키 
279,25000,"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits",첸밍 후(Chenming Calvin Hu) 
280,28000,"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지",이철희 
281,25000,"IT CookBook, enjoy design 포토샵 CS6",이영주 
282,25000,"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍",김선우 
283,10000,"IT CookBook, 초보자의 첫 번째 파워포인트 2010",최희식 
284,32000,"IT CookBook, 전자회로 : 핵심 개념부터 응용까지","강문식 , 신경욱 "
285,25000,"IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008",손광수 
286,29000,"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계",이상설 
287,24800,"IT CookBook, 자바로 배우는 쉬운 자료구조",이지영 
288,20000,"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조","김종훈 , 김종진 "
289,27000,"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습","박우창 , 남송휘 "
290,25000,"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행","성윤정 , 김태은 "
291,22000,"IT CookBook, 반도체 공학 연습문제 풀이집",김동명 
292,24000,"IT CookBook, C 프로그래밍","강동진, 하숙정, 임수연, 송무희, 박보석 "
293,21000,"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010","김주영 , 정영준 "
294,10000,"IT CookBook, 초보자의 첫 번째 엑셀 2010",양숙희 
295,24000,"IT CookBook, 개념이 보이는 물리전자공학",이현용 
296,18000,문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지,한성우 
297,20000,"진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서","서일수 , 김도균 , 김지혜 , 이정배 "
298,36000,Essential Calculus,James Stewart 
299,25000,"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems","정호영 , 임승각 "
300,32000,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed","하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 "
